Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.6964177530708511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7462304541791758,7.2593512535095215,229900,21105.0
ECG1_20k,0.6894071965885677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6993677735121064,0.6596355438232422,20000,675.0
IOPS1,0.5969229820244608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.831637326226343,0.29784393310546875,8784,206.0
SMD1,0.556621829562862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5982822703744177,0.93133544921875,28479,2694.0
Occupancy1,0.18604930979414144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2879234037852899,0.08106207847595215,2665,972.0
ECG1+IOPS1,0.7086633795372594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7171676711206181,0.9463698863983154,28784,881.0
SMD1+Occupancy1,0.44106250134264036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5093756019367995,0.9576315879821777,31144,3666.0
ECG1+IOPS1+Occupancy1,0.4997680492696501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.687951504499037,1.0140645503997803,31449,1853.0
SMD1+ECG1+Occupancy1,0.5425407562543749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6339026624214283,1.6456046104431152,51144,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.5251179637474386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5691835519086441,1.9532394409179688,59928,4547.0
