Name,AUC,Precision,Recall,F-score,Range-recall,ExistenceReward,OverlapReward,Range-precision,Range-Fscore,Precision@k,RangeAUC,Time,Number of Windows,Number of anomalies
ECG1,0.6964177530708511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7462304541791758,11.05502724647522,59928,21105.0
ECG1_20k,0.6894071965885677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6993677735121064,0.9642176628112793,59928,675.0
IOPS1,0.5969229820244608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.831637326226343,0.417510986328125,59928,206.0
SMD1,0.556621829562862,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5982822703744177,1.3341379165649414,59928,2694.0
Occupancy1,0.18604930979414144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.2879234037852899,0.12653779983520508,59928,972.0
ECG1+IOPS1,0.7086633795372594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.7171676711206181,1.3680737018585205,59928,881.0
SMD1+Occupancy1,0.44106250134264036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5093756019367995,0.943232536315918,59928,3666.0
ECG1+IOPS1+Occupancy1,0.4997680492696501,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.687951504499037,0.9347970485687256,59928,1853.0
SMD1+ECG1+Occupancy1,0.5425407562543749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.6339026624214283,1.6193304061889648,59928,4341.0
ECG1+IOPS1+SMD1+Occupancy1,0.5251179637474386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.5691835519086441,1.8518986701965332,59928,4547.0
